"alt_id","alt_name","id","name","lat","lon"
"8@0821","bivio casanova di ama","9@gh821","bivio casanova di ama","43.4485324564256","11.3913806934349"
"8@0882","biv.casanova di ama","9@gh882","biv.casanova di ama","43.4485590363676","11.3912205892376"
"8@0883","san sano","9@gh883","san sano","43.4227685575041","11.3898722833612"
"8@0885","san sano cantine","9@gh885","san sano cantine","43.4166102389627","11.3889160087279"
"8@0886","san sano podernuovo","9@gh886","san sano podernuovo","43.4142106676798","11.3902479554828"
"8@1413","bivio volpaia","9@rc413","bivio volpaia","43.4910417990006","11.3674421221487"
"8@1724","biv la villa","9@rc724","bv. la villa","43.4899129538864","11.385838926082"
"8@1726","p.te ceperano","9@rc726","p.te ceperano","43.4907458617482","11.353495302959"
"8@1727","monterinaldi","9@rc727","monterinaldi","43.5074914935561","11.3268348074103"
"8@1728","lucarelli inizio abitato","9@rc728","ristoro a lucarelli","43.5166335736635","11.3139949863501"
"8@1729","lucarelli centro abitaz.","9@rc729","lucarelli","43.5184869226803","11.311730396115"
"8@1731","lucarelli capolinea parte","9@rc731","lucarelli capolinea","43.5189819247015","11.3111753346277"
"8@1733","lucarelli fine abitato ve","9@rc733","ristoro a lucarelli","43.5165461891766","11.3139928826105"
"8@1734","monterinaldi","9@rc734","monterinaldi","43.5073976388804","11.3267657612657"
"8@1735","p.te ceperano","9@rc735","p.te ceperano","43.4906588965573","11.3534990970755"
"8@1737","biv.la villa","9@rc737","bv. la villa","43.48979547919","11.3857902739671"
"8@1764","la chiesina","9@rc764","la chiesina","43.490359575249","11.3855096270268"
"8@1765","la chiesina","9@rc765","la chiesina","43.4902629793403","11.3855045864473"
"8@1779","s.polo  circolo","9@gh779","s.polo  circolo","43.447015270267","11.3818360279792"
"8@1781","biv.ama","9@gh781","biv.ama","43.4422536585955","11.3946759804488"
"8@1782","lecchi","9@gh782","lecchi","43.4337563751482","11.4003735380666"
"8@1783","biv.s.sano","9@gh783","biv.s.sano","43.427679090936","11.3953871960856"
"8@1786","bivio lecchi","9@gh786","bivio lecchi","43.4240285762858","11.4041808918486"
"8@1787","osteria verso gaiole","9@gh787","osteria verso gaiole","43.431461838051","11.4125898974035"
"8@1788","p.te a stielle","9@gh788","p.te a stielle","43.4316148583099","11.418015787909"
"8@1789","molinlungo","9@gh789","molinlungo","43.4507359284528","11.4191571343358"
"8@1790","biv.rietine","9@gh790","biv.rietine","43.4547707244883","11.4240191306919"
"8@1814","gaiole","9@gh814","gaiole","43.4672960568319","11.4342964351194"
"8@1815","biv.rietine","9@gh815","biv.rietine","43.454800954621","11.4239353052729"
"8@1816","molinlungo","9@gh816","molinlungo","43.4508738972037","11.4190621600574"
"8@1817","p.te a stielle","9@gh817","p.te a stielle","43.4316477937631","11.4179826299449"
"8@1819","biv.lecchi","9@gh819","biv.lecchi","43.4240224451783","11.4040614400247"
"8@1820","p.te alle granchiaie","9@gh820","p.te alle granchiaie","43.4134541622506","11.3989632744388"
"8@1824","biv.s.sano","9@gh824","biv.s.sano","43.4277232637904","11.3951955984256"
"8@1825","lecchi lato bar","9@gh825","lecchi lato bar","43.4337270897482","11.4004474998438"
"8@1826","biv.ama","9@gh826","biv.ama","43.4422722331362","11.3947477662008"
"8@1827","biv.s.polo","9@gh827","biv.s.polo","43.4514327400856","11.3906211323042"
"8@2212","fattoria la pesanella","9@rc212","fattoria la pesanella","43.5141042998539","11.3192809724034"
"8@2215","bivio volpaia dir.siena","9@rc215","bivio volpaia dir.siena","43.4909756397425","11.3673777512347"
"8@2233","radda in chianti  scuole","9@rc233","scuole","43.4870970339502","11.3787211594302"
"8@2235","mobilif.soldani","9@rc235","il bonagino","43.4905135145445","11.3720062649837"
"8@2236","fatt.la pesanella","9@rc236","fattoria la pesanella","43.5142420454987","11.3192638575868"
"8@2425","la villa distributore","9@rc425","la villa distributore","43.4894307593962","11.388715704358"
"8@2448","gaiole opp. cimitero","9@gh448","gaiole opp. cimitero","43.4614527078866","11.4280974636403"
"8@2449","gaiole cimitero","9@gh449","gaiole cimitero","43.4614788718696","11.4280144572291"
"8@2454","bivio di spaltenna n.1","9@gh454","bivio di spaltenna n.1","43.4684999366944","11.4325046442212"
"8@2455","p.za dopo b.spaltenna","9@gh455","p.za dopo b.spaltenna","43.4668652720888","11.4330553005319"
"8@pgb451","bivio s.lucchese","9@pr451","bivio san lucchese","43.4530287410145","11.1517696481855"
"8@0011","v.le c.b.di cavour n.76","9@s0011","viale cavour","43.3302416783465","11.3189192243735"
"8@0013","p.diavoli","9@s0013","palazzo diavoli","43.3323501706003","11.3130476321374"
"8@0048","p.diavoli","9@s0048","palazzo diavoli","43.332154483924","11.3136853037934"
"8@0050","v.le c.b.di cavour.n.83","9@s0050","cavour","43.3299637040328","11.3193018577316"
"8@0063","siena-v.le v.emanuele ii","9@s0063","antiporto camollia","43.3288765396191","11.3219682715798"
"8@0064","siena-antiporto camollia v.vitto","9@s0064","antiporto camollia","43.3287111004503","11.3220364632482"
"8@0065","p.camollia","9@s0065","porta camollia","43.3281107261306","11.3241803355852"
"8@0067","siena-bv .montluc.","9@s0067","montluc","43.3257579751824","11.3252510832393"
"8@0095","siena-v le v.veneto n.5","9@s0095","veneto","43.3206922140708","11.3226545859983"
"8@0096","siena-p.zza san domenico","9@s0096","san domenico","43.320276330142","11.326338159034"
"8@0260","fontebecci","9@s0260","fontebecci","43.3423378709014","11.305879001451"
"8@0262","t.fiorentina","9@s0262","torre fiorentina","43.3368925586163","11.3075532759901"
"8@0275","v.n.sauro","9@s0275","nazario sauro","43.3253069402241","11.3247828436224"
"8@0380","torre fiorentina","9@s0380","torre fiorentina","43.3371165571656","11.3074651744377"
"8@0382","fontebecci","9@s0382","fontebecci","43.3425497117788","11.3060319800865"
"8@2000","siena-via tozzi","9@s2000","siena-via tozzi","43.3228438476229","11.3276958435147"
"8@2369","siena-v.le r.franci","9@s2369","rinaldo franci","43.3237849806479","11.3248936143373"
"8@4063","colle v.elsa (v.bilenchi)","9@ev063","colle v.elsa (v.bilenchi)","43.422569070629","11.1278010060167"
"8@4085","ospedale val d'elsa","9@pr085","ospedale val d'elsa","43.452558143517","11.1503925761804"
